"GEONAME_H";"CAT";"C_ROZH";"ROK_ST";"D_ROZH";"GN_ID"
"Lieskovsk˝ kan·l";"Kan·l, n·hon";"P-378/1975";1991;"19.11.1975";{CAC1587C-B57A-488E-AB7D-0E1C772627FE}
"Olöavec";"Vodn˝ tok";"P-378/1975";1989;"19.11.1975";{B4E285A8-3FA4-41A1-B74E-D132EE93D6E5}
"Doliny";"Pole";"P-108/1978";1979;"30.03.1978";{D7D84F3E-9C88-4D36-A4A3-EFF7ED3BBF93}
"Trn·vka";"Majer, osada, samota, miestna Ëasù";"P-221/1981";2007;"09.09.1981";{AE51CAF9-104D-4AF1-8EB5-8993BE49C9E4}
"HraniËn˝ potok";"Vodn˝ tok";"P-42/1988";2005;"04.02.1988";{0BDA5AF2-2239-46A1-81A9-78AC98F11603}
"Dubn·";"Pole";"P-108/1978";1985;"30.03.1978";{BD031A02-F474-4C75-8C73-2B74F4D71487}
"SlivkovÈ polia";"Pole";"P-108/1978";1983;"30.03.1978";{155A6FB1-ACC9-4872-B644-CBA6F2F1C11F}
"Svinnica";"Vodn˝ tok";"P-108/1978";2005;"30.03.1978";{2E0D1781-CB58-4F34-A070-F85CAE1E2546}
"NovÈ TrÌby";"Les";"P-190/1988";2012;"01.07.1988";{D99E83D5-9F90-48E9-8EA1-29A0BC3F084C}
"Putniarka";"Pole";"P-108/1978";1993;"30.03.1978";{B269253C-CC20-4505-B5D7-A896D7F297B5}
"Podhora";"Pole";"P-108/1978";1985;"30.03.1978";{03A3D64C-9670-4D39-BF42-A1A21BCF9A8A}
"Lindavsk˝ les";"Les";"P-108/1978";1983;"30.03.1978";{80BD6925-447F-4380-A68F-A313B7C242A9}
"Blava";"Vodn˝ tok";"P-108/1978";2005;"30.03.1978";{6FDCC9D0-FB74-4F1A-A666-175AD8FA2EA9}
"»eskÈ pleso";50;"P-378/1975";2006;"19.11.1975";{25BF75F9-485B-4A7B-BADB-1D029BFC0DA6}
"V˝chodn˝ Lelesk˝ kan·l";"Kan·l, n·hon";"P-425/1990";2005;"31.10.1990";{291CDADD-86F7-4BFD-80E6-6CEB572B4C69}
"Veæk˝ Horoöov";"Vrch";"P-378/1975";1992;"19.11.1975";{2935494E-F821-446F-9822-812E0411B073}
"Dudv·h";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{7863F21E-A112-408C-8BAF-60A9F675674A}
"CesnakovÈ jamy";"Les";"P-185/1987";2007;"03.06.1987";{66C91938-0A09-4CA3-ACD0-2674A5B74C0E}
"Severn˝ Sv‰tuösk˝ kan·l";"Kan·l, n·hon";"P-470/1991";2005;"30.09.1991";{5B94672E-2025-4DE0-939B-FFED0F7DB337}
"Veæk· BÙrov·";"Les";"P-164/1976";2010;"23.06.1976";{5AC47591-BD10-450D-B344-144644A08835}
"Na hÙrky";"Les";"P-365/1990";2007;"28.08.1990";{911A2EEF-BDD8-4277-844F-C30F1B19A179}
"Str·ne od OËkovskÈho";"Pole";"P-108/1978";1985;"30.03.1978";{79A31939-FD92-478C-B080-3E60207C1EBD}
"Kamenica";"Vrch";"P-108/1978";2007;"30.03.1978";{6BFC7F35-CCDA-4245-B056-06615BCF505D}
"HomÙlka";"Vrch";"P-378/1975";1987;"19.11.1975";{4FAC3638-8C3A-47A9-8FF8-BD7781253089}
"V·penice";"Hor·reÚ";"P-221/1981";1988;"09.09.1981";{4FF14698-0C0F-451D-9398-03C12142AC9B}
"Jasenov";"Vrch";"P-378/1975";1987;"19.11.1975";{B5703C43-1A4C-4D4E-BC0E-1D64C72037F8}
"J·gerÚa";"Hor·reÚ";"P-221/1981";1989;"09.09.1981";{BA4FA88A-29E8-47CF-9F6E-EB7069455714}
"Diely pod h·jom";"Pole";"P-190/1988";2007;"01.07.1988";{0A1476A0-A040-4799-A385-86CB80476554}
"Medzi tromi jarkami";"Les";"P-378/1975";1992;"19.11.1975";{598D59F0-EE57-450C-9236-32D35F79D393}
