"GEONAME_H";"CAT";"C_ROZH";"ROK_ST";"D_ROZH";"GN_ID"
"K Myöpotoku";"Pole";"GK-2327/1993";2007;"09.11.1993";{A595C278-3DE0-4ED3-A1AD-336E11045045}
"Pod Janov˝m";"Les";"P-261/1984";2007;"28.09.1984";{371BEF9C-632C-C36C-E053-3DC4A8C0CC62}
"ProstrednÈ pole pod unÌnskou cestou";"Pole";"P-4/1989";2007;"11.01.1989";{A1067EDB-C152-4394-94B1-533D9A9BC93D}
"Na jamy";"Pole";"GK-2073/1994";2007;"07.09.1994";{9E831EB1-349B-45CB-9F32-4710D62C2BD3}
"Horn· äamoÔ";"Vinica";"P-261/1984";2007;"28.09.1984";{3706FFC0-9405-D4CF-E053-3DC4A8C0F29D}
"Star· hora";"Les";"P-4/1989";2007;"11.01.1989";{A1BFFF83-0BB5-416E-81EA-6D4B9AA6C808}
"DrieÚok";"Les";"P-255/1992";2007;"16.06.1992";{30604F5E-E8FC-4BB9-8408-38C87B1CF568}
"Pod doln˝mi vinohradmi";"Pole";"P-190/1988";2007;"01.07.1988";{CDD375FD-46A3-4289-AF05-D4E18E8EED0F}
"Diely za cintorÌnom";"Pole";"P-4/1989";1999;"11.01.1989";{9A3C2B28-38CF-4377-9F06-59CE6CF822A9}
"»ierùaûeÚ";"Les";"P-365/1990";2007;"28.08.1990";{79B2E1C0-034C-4757-88E5-49FAE10C848F}
"Pod doln˝mi vinohradmi";"Pole";"P-190/1988";2007;"01.07.1988";{8EC61716-0077-4B2D-AA58-A3004836BA83}
"DrieÚok";"Les";"P-255/1992";2007;"16.06.1992";{82A5A106-A68D-4B48-870D-93D43D340046}
"Meûino";"Vrch";"P-164/1976";2007;"23.06.1976";{76AF7ACB-C0F8-430E-9BB8-1023BEA8360F}
"ätipkov·";"Les";"GK-1049/1994";2007;"18.04.1994";{8FB2B23E-3F36-4704-A32F-94E373468493}
"Farebn˝ potok";"Vodn˝ tok";"P-164/1976";1987;"23.06.1976";{B5F2DA1E-857F-4255-9FB9-ACB1851B529B}
"Humerov·";"Les";"P-108/1978";1991;"30.03.1978";{C689CE40-9B0D-4149-9516-592E8BE5201A}
"Veæk˝ ºubÌn";"Les";"P-164/1976";1994;"23.06.1976";{BC7B97A7-DEF8-4A74-A365-1CA7C9FD46E8}
"Val˙öska dolina";"Pole";"P-4/1989";1999;"11.01.1989";{5003668B-84EB-46EE-B677-7BCC98D84AF2}
"Kriökovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1989;"09.09.1981";{96017557-6318-4D06-8246-9777CA537093}
"DlhÈ diely";"Pole";"P-108/1978";1988;"30.03.1978";{462580DB-6B37-4981-A7C5-12495D6D3AC1}
"V·penÌk";"Vrch";"P-378/1975";1987;"19.11.1975";{38387AB4-A384-0DAA-E053-3DC4A8C09D83}
"Putniarka";"Pole";"P-108/1978";1993;"30.03.1978";{144DB868-9FC4-4C77-AEEA-06A975F9B658}
"Nad Hrichov˝mi";"Pole";"P-4/1989";2013;"11.01.1989";{87E24C8B-7EBE-418F-838E-EA7B3C5F1940}
"dolina Bielych plies";"Dolina";"P-378/1975";2007;"19.11.1975";{749970B9-30D2-4BFC-AEEE-6BDB45C394F6}
"HornÈ padelky";"Pole";"P-4/1989";1999;"11.01.1989";{19A415A4-14F2-432C-99EA-2C7EA1D9B265}
"Dubn·";"Pole";"P-108/1978";1985;"30.03.1978";{84167D01-9FA3-43F0-B0FA-0BAF377A8628}
"Magdolna";"Kaplnka";"P-221/1981";2009;"09.09.1981";{33169872-F4D9-4833-BD40-1F569CB2F727}
"Hrad";"Pole";"P-108/1978";1979;"30.03.1978";{DFB73DD2-E8D3-4442-B9CD-9D16F323628C}
"Laudriky";"Pole";"P-261/1984";2007;"28.09.1984";{63AFEE6A-C0FB-4CE2-8B33-9DB915653D52}
"Rovn· pod äaönatou";"Pole";"P-395/1991";2007;"05.08.1991";{B4B6EA66-A7E0-4513-BD29-D88B5DD1652C}
"ämatlavÈ uhlisko";"Les";"P-108/1978";1989;"30.03.1978";{289F49B9-102B-4500-A628-0283C9471F05}
"Val˙öska dolina";"Pole";"P-4/1989";1999;"11.01.1989";{AFCFDD0C-689A-4DC3-B344-DD30683EBF3C}
"Za Zrubn˝mi dielmi";"Pole";"P-4/1989";1989;"11.01.1989";{3549D22C-67D6-4AC0-975B-2B8660CAA5FB}
"DubnÌk";"Vrch";"P-164/1976";1986;"23.06.1976";{167AACEF-A0D3-4C1E-9C56-EB6A235DA457}
"Prostredn· l˙ka";"Pole";"P-108/1978";1985;"30.03.1978";{E1F45D1D-8736-4346-9876-5ECA4FFE29AE}
"Mahulianka";"Kan·l, n·hon";"P-108/1978";2009;"30.03.1978";{3F18B3BE-F6BF-4F4F-B07A-D8054994AEBF}
"H·j";"Les";"P-108/1978";1989;"30.03.1978";{11E2614E-09A6-48E2-8C65-1D5FB7F91710}
"Gbelsk˝ kan·l";"Kan·l, n·hon";"P-108/1978";2009;"30.03.1978";{5BA94624-9A49-4D49-A83C-2F66DFDA091D}
"SvidniËanka";"Vodn˝ tok";"GK-1115/1993";2013;"09.06.1993";{6E559E21-411A-4EA7-8962-279584A27174}
"Paöovisk·";"Pole";"P-108/1978";2007;"30.03.1978";{794486F6-BA3E-455F-8B1A-D75B8D9F95A0}
"Kakvica";"Jazero, jazer·, pleso, ples·";"P-108/1978";1983;"30.03.1978";{BF42809E-4DC9-4C3D-BA16-CD548E7B0E31}
"NadkrÌûie";"Vrch";"P-108/1978";1991;"30.03.1978";{74472AC8-6A06-48AE-AE7B-930548F63659}
"Partiz·n";"Pole";"P-108/1978";1988;"30.03.1978";{295F5C9A-274A-46AC-B6F8-E56AC9E860DD}
"Kop·nka";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{D771D4C9-347D-46B8-9502-151D510B8F76}
"Z·kostolskÈ";"Pole";"P-108/1978";1989;"30.03.1978";{D2D9D8B0-596D-4158-9A61-F2949F48A1FE}
"Na rybnÌËku";"Pole";"P-108/1978";1985;"30.03.1978";{3AF04454-A10B-434D-A755-0FA369563F0E}
"S˙æovsk˝ hrad";"Zr˙canina";"P-221/1981";1990;"09.09.1981";{4423239E-2DC5-4854-8A54-912FBCEE1A96}
"Pad˙chovo";"L˙ka, pasienok";"P-164/1976";1990;"23.06.1976";{8C58CE01-8AC0-43B3-9C8B-135CAB79E58E}
"Blatina";"Vodn˝ tok";"P-108/1978";2009;"30.03.1978";{2E9B2899-C536-422B-905D-72347BCCFA0E}
"ätutÌkov öt·l";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1986;"09.09.1981";{0FC42335-DB94-4F3A-8774-F87F0D2B3C20}
"Pri Zelienkovi";"Les";"P-108/1978";1999;"30.03.1978";{CBCB58E8-50E9-40C1-877C-52C870F14ABD}
"äimkova seË";"Les";"P-108/1978";1989;"30.03.1978";{2C4FEF22-C61D-4444-98E4-11783A9DAFFF}
"Pri velickom jazierku";"Les";"P-4/1989";1989;"11.01.1989";{21D95D9E-58D7-4EE9-B1DC-3D50AB06A02B}
"HrubÈ Okruhy";"Pole";"P-108/1978";2007;"30.03.1978";{1C4F0BD6-5445-433B-8880-8B612D84DAEF}
"Priepasn· dolina";"Dolina";"P-4/1989";2003;"11.01.1989";{E0D58D16-494E-4D4F-8743-FA767B3650C5}
"DlhÈ diely";"Pole";"P-108/1978";1989;"30.03.1978";{5F884A29-2F9D-4F94-AD7A-0B53F9783896}
"Narcie";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{7055D270-4CD6-4478-9C7B-A1FCBD209BB8}
"Bien";"Vodn˝ tok";"P-164/1976";1993;"23.06.1976";{157E8DDF-3655-4277-A376-8F7F9D451020}
"Dolinky";"Vodn˝ tok";"P-108/1978";2005;"30.03.1978";{A9850514-9DF1-43D4-B36B-2589F2252747}
"Feneösk˝ potok";"Vodn˝ tok";"P-108/1978";1989;"30.03.1978";{10E0AF16-BD65-43BB-8BDA-ACBBCC354094}
"M·ria MagdalÈna";"Kaplnka";"P-221/1981";1999;"09.09.1981";{6BE36E32-2070-4ACA-A994-B2EFCF123F94}
"HomÙlka";"Vrch";"P-378/1975";1987;"19.11.1975";{EE54F76A-B7EB-47F1-91ED-DFBBE673F978}
"Trenkov jarok";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{7516EFFB-8C1F-428D-9EDA-305B002E37FE}
"L˙ky za Gajarom";"L˙ka, pasienok";"P-4/1989";1999;"11.01.1989";{8D45E832-5D83-4C55-B6C1-FD8598AEAD19}
"Monick˝ potok";"Vodn˝ tok";"P-164/1976";2014;"23.06.1976";{8A6A25BC-5816-49F1-AE9E-8818FC28E803}
"Za lÌökom";"Pole";"P-190/1988";1988;"01.07.1998";{A6243F96-5B78-4617-9C70-684443E44BDA}
"Palasov";"Pole";"P-212/1982";2012;"21.10.1982";{695730C4-DD9D-4417-9AD8-F0958A1A20C9}
"Bielsky piesok";"Pole";"P-378/1975";1991;"19.11.1975";{5A73A833-B7FE-42EF-B1FA-F4AD2D5A10E4}
"äarcov";"Vrch";"P-108/1978";1993;"30.03.1978";{88C1B0EA-0F0A-4D91-A822-3AC107BCA8EC}
"DlhÈ pole";"Vinica";"P-108/1978";1991;"30.03.1978";{29347005-3B3E-4E67-8320-DA29401CC13D}
"M·Ëonsk˝ kan·l";"Kan·l, n·hon";"P-108/1978";1993;"30.03.1978";{2D69CA5C-B006-431B-8687-FF5112856756}
"R˙banisko";"Pole";"P-378/1975";1993;"19.11.1975";{0ABF1CF7-18A8-4FC1-91B5-BF6EFCAB97CF}
"Roz·lka";"Kaplnka";"P-221/1981";2007;"09.09.1981";{1B4CA540-7EBD-4C47-B215-D7819FE2112A}
"Topolianska preloûka";"Kan·l, n·hon";"P-425/1990";1993;"31.10.1990";{66171EAE-659D-4099-97C1-44BC31677D87}
"Davidov kan·l";"Kan·l, n·hon";"P-108/1978";2007;"30.03.1978";{B50835A1-1D1D-40E1-AAA1-EA031D3E60EE}
"J·sov·";"Vodn· n·drû";"GK-1115/1993";2007;"27.07.1993";{93C5D618-CD47-4573-8D96-7A73EF1056BB}
"J·sov·";"Vodn· n·drû";"GK-1115/1993";2007;"27.07.1993";{45911C24-E6F5-47B4-834B-790772AE7743}
"StoliËn˝ potok";"Vodn˝ tok";"P-108/1978";2007;"30.03.1978";{FE82405C-33AA-45AE-95E6-4F1810EFCC4A}
"äachtisko";"Les";"P-164/1976";1986;"23.06.1976";{E15BC4D8-9093-4D00-99F8-18940F18674D}
"Mis·rske";"Vrch";"P-164/1976";1994;"23.06.1976";{5828CB76-717E-40A9-94F5-E60B1EF53F13}
"Vasiæovka";"Pole";"P-378/1975";1993;"19.11.1975";{88FA7C16-451A-4629-9711-160C05C43520}
"Hadie";"Pole";"P-108/1978";1991;"30.03.1978";{AC117D75-073F-4D22-BA38-BB38E6750588}
"Holice";"Vrch";"P-378/1975";1990;"19.11.1975";{371A3A6B-7ADA-A998-E053-3DC4A8C0B402}
"Veæk˝ Gbol";"Pole";"P-111/1985";2012;"05.05.1985";{25C2DCC9-90B9-47F8-8758-26830EAAFFC1}
"Fialkov˝ potok";"Kan·l, n·hon";"P-108/1978";1991;"30.03.1978";{CEB1F7A6-CBB1-4B04-B09E-98C76EE21FA6}
"Horn˝ hon";"Pole";"P-108/1978";1991;"30.03.1978";{FDA349FF-FF57-483C-A6F6-5BB3AF38D7E7}
"TovÌk";"Vrch";"P-164/1976";1992;"23.06.1976";{7F09EE23-9198-47C9-9F04-3E0561BA378A}
"Dolinky";"Vodn˝ tok";"P-108/1978";2005;"30.03.1978";{7C8412D5-9D60-4811-8900-789137A45C54}
"HarËarka";"Vrch";"P-378/1975";1987;"19.11.1975";{326B7A63-26A4-48BC-B9F1-08860D1420B6}
"Ondrejky";"Pole";"P-4/1989";1999;"11.01.1989";{79B26880-9B5A-449B-81F0-0E0383FAE466}
"StarÈ hory";"Vinica";"P-261/1984";2016;"28.09.1984";{36F67657-C070-EB3C-E053-3DC4A8C00514}
"Parlagy";"Pole";"GK-1115/1993";2007;"27.07.1993";{7A4FBFE8-724D-4F95-8653-CDE7FDFA7E47}
"StrednÈ sihote";"Pole";"P-386/1992";2007;"23.09.1992";{830195E5-C610-4305-8CF1-B1C1D9AB54D0}
"Gav·Ëovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{F7374EB8-8A6C-4B0C-9823-2F0C66E6F482}
"Nandin majer";"Pole";"P-212/1982";2007;"21.10.1982";{32AE325D-B80F-49DE-B52A-0CD56FD02BA7}
"H˝lov hr˙d";"L˙ka, pasienok";"P-4/1989";2007;"11.01.1989";{618FFB9E-85B3-4645-A029-187837937416}
"Nad SkalniËn˝m";"Les";"P-365/1990";2007;"28.08.1990";{BAEDDA73-A0F7-4F65-BEAE-D3A6F5D41564}
"Veæk· sihoù";"Pole";"P-108/1978";1991;"30.03.1978";{BD574FC6-4564-47A8-A36E-EB0A304AFB67}
"Veæk· sihoù";"Pole";"P-108/1978";1991;"30.03.1978";{1A4CD273-3599-4CD4-A54A-90226732BB51}
"ärob·r";"BaÚa, öachta, ötÙlÚa";"P-365/1990";2013;"28.08.1990";{FD4EB098-DCA8-4E7B-972B-CE7F4EF3CBAE}
"Duöa";"Vodn˝ tok";"P-378/1975";2007;"19.11.1975";{4FBEFCFB-7ABD-41D2-86D9-9E6FC3C97B26}
"PanskÈ ort·öe";"Pole";"P-212/1982";1999;"21.10.1982";{3AB992A2-3B7E-46D8-9AD7-2DA2B2ACCB75}
"KrËe";"Pole";"P-212/1982";1999;"21.10.1982";{58F52539-8312-43F7-A963-F2FD35981DC7}
"Veæk· kopa";"Vrch";"P-170/1989";2010;"27.06.1989";{38387AB4-A3B7-0DAA-E053-3DC4A8C09D83}
"Sv‰t· Trojica";"Kaplnka";"P-387/1992";2009;"23.09.1992";{61FC1C4A-6ED2-4DC9-A7B0-4AACA164CA53}
"Na rybnÌËku";"Pole";"P-108/1978";1985;"30.03.1978";{9B13E954-AA23-4545-91E8-30B7506A82A7}
"NovÈ pole";"Pole";"P-108/1978";1983;"30.03.1978";{458F9845-C7D7-4466-97B7-F2CA08ECBC86}
"Mozoæovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1991;"09.09.1981";{01D80662-1723-44CD-A69A-40BFDD680EC6}
"Hriechovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1989;"09.09.1981";{F8182524-DF4E-45F2-80C6-EC67E574D4A8}
"DolnÌ KrËovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1989;"09.09.1981";{0DEFA472-C769-41BB-B88D-B492582EAF27}
"HlbokÈ";"Dolina";"P-164/1976";1990;"23.06.1976";{F62588F4-CED4-48E1-9C29-1BF9F82506F9}
"VÌslavce";"Les";"P-170/1989";2010;"27.06.1989";{88A5F840-CF57-472E-9CA6-9251DAC200A8}
"ätvrte pri öirokom poli";"Pole";"P-108/1978";1999;"30.03.1978";{E4E5CD57-A377-4ED3-B36E-D8F6E96B8F59}
"ºupËiansky z·mok";"Hrad, z·mok; hr·dok";"P-221/1981";1990;"09.09.1981";{756A31E2-DDDD-4C5B-96DD-57E90BE6EBE6}
"FilagÛria";"Vrch";"P-378/1975";1988;"19.11.1975";{37F7A91C-0302-962B-E053-3DC4A8C0B510}
"Mraznice";"Vrch";"P-164/1976";1994;"23.06.1976";{96D82663-06B3-43B7-985D-018EB81A75CA}
"J˙lius";"BaÚa, öachta, ötÙlÚa";"P-365/1990";2013;"28.08.1990";{CD72C69B-5851-41B0-A1B3-531A6A4588F0}
"Postalka";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1994;"09.09.1981";{8B4A9FB5-583C-44EA-904C-16947042F12E}
"Veæk· LahÚa";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1988;"09.09.1981";{3F850D39-0CD1-4845-9176-149932C3990A}
"VlËie pole";"Pole";"P-261/1984";2016;"28.09.1984";{36F67657-C067-EB3C-E053-3DC4A8C00514}
"Sæ˙novsk˝ jarok";"Vodn˝ tok";"GK-1031/1993";2010;"01.06.1993";{6128CA22-D406-43CA-B8F1-1C714D7551BD}
"Sviniarka";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1989;"09.09.1981";{22C70028-AE96-4918-BD15-32CB4CE2CC9E}
"Koöarisko";"Pole";"P-108/1978";1989;"30.03.1978";{8AEB9312-3CAF-497D-BD84-EFFD3D86113C}
"ZrinÌkovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1989;"09.09.1981";{E0F45CE4-65A1-4930-92F3-A5922EFA1735}
"Olöavica";"Vodn˝ tok";"P-378/1975";1992;"19.11.1975";{92662589-F2A8-4AF0-BBC8-E8BB5C20C5F5}
"Pri veækom h·ji";"Pole";"P-261/1984";2016;"28.09.1984";{839F3C44-ADC9-4B84-BB87-12614353D2AA}
"Barborsk·";"Les";"P-4/1989";1989;"11.01.1989";{D89541EB-F0E0-48FF-9D6C-84664177D261}
"PanenskÈ";"Les";"P-108/1978";1983;"30.03.1978";{91034B38-EB51-4024-A3B6-58CA21D53CE5}
"Gbalec";"Pole";"P-261/1984";2012;"28.09.1984";{3706FFC0-9448-D4CF-E053-3DC4A8C0F29D}
"Mahulianka";"Pole";"P-108/1978";2009;"30.03.1978";{B25E93D6-C814-4DC5-9BEF-2BC7CC0299E4}
"Pri ötachete";"Les";"P-108/1978";1989;"30.03.1978";{754D31B7-A4E1-447C-ADAB-47158BD655E1}
"J·nov·";"Les";"P-111/1985";1979;"05.05.1985";{C1150911-69E0-4ED0-B206-F943546B1320}
"Lipovec";"Vrch";"P-108/1978";1989;"30.03.1978";{A7146054-444B-41EC-A678-ED3FBB4B6F0A}
"éalostina";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1999;"09.09.1981";{06FE3B31-811C-48D5-BBA8-9E71C8FEC97C}
"Somola";"Pole";"P-801/1993";2008;"21.04.1993";{EC9FB7AA-A7A9-46AF-990F-FABA570A8468}
"PolachnovÈ";"Les";"P-261/1984";2016;"28.09.1984";{371BEF9C-634B-C36C-E053-3DC4A8C0CC62}
"Star· st·vka";"Les";"P-164/1976";1990;"23.06.1976";{068758CA-F8FF-4BB9-A399-323F515234EE}
"HornÈ ˙dolie";"Les";"P-4730/2009";2013;"24.07.2009";{DD304D93-C0AA-4C86-97D5-D2B9B49763EF}
"Durù·n";"Les";"P-255/1992";2007;"16.06.1992";{8956CC24-4AD4-4B94-B761-6A928CCB68EC}
"Mal˝ Gbol";"Pole";"P-108/1978";2012;"30.03.1978";{13AD37AF-A9DD-48B4-93DD-CD8A6340D50D}
"Haöt·k";"Kan·l, n·hon";"P-108/1978";1989;"30.03.1978";{51754FF9-00D2-47A4-B56A-7C90875C74F3}
"Nad osiËÌm";"Vrch";"P-108/1978";1989;"30.03.1978";{BD8B6EAF-4188-4BD4-969C-75CAE8E5A024}
"KrËovskÈ";"Les";"P-261/1984";2016;"28.09.1984";{37580D07-A656-0457-E053-3DC4A8C05A6A}
"äirok˝ vrch";"Vrch";"P-108/1978";1983;"30.03.1978";{8E04FF8E-655F-4EDC-B663-7662430B8A8C}
"»ierna voda";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{0F0C6E3B-E3A7-48B8-B2C7-251E087AE406}
"Lazy";"Pole";"P-108/1978";1985;"30.03.1978";{BCBF8AD2-C021-470C-B948-0E0A5ADE4A8E}
"Kopanice";"Pole";"P-108/1978";1985;"30.03.1978";{3706FFC0-942D-D4CF-E053-3DC4A8C0F29D}
"Struha";"Pole";"P-108/1978";2016;"30.03.1978";{39A0141F-1A60-99A0-E053-3DC4A8C031A1}
"VysoËiansky kan·l";"Kan·l, n·hon";"P-108/1978";2003;"30.03.1978";{12410AAD-0929-436A-B188-A3C15B33A3C3}
"Doln˝ h·j";"Les";"P-108/1978";1979;"30.03.1978";{58127D37-BCE7-432B-A8E0-BF75841718B2}
"KvaËina";"Kan·l, n·hon";"P-108/1978";1994;"30.03.1978";{4A5B7EDD-6768-4DC1-A19B-F07BCDE31293}
"Kazmoch·rka";"Pole";"P-108/1978";1983;"30.03.1978";{71B3A4A8-4288-4F50-8179-418A9EB79A32}
"Zuber";"Les";"P-164/1976";1987;"23.06.1976";{CA082026-187A-43FE-9427-579FFA520EA8}
"Mahulianka";"Pole";"P-108/1978";2009;"30.03.1978";{1E1932C8-021D-4382-971E-2F42AB59AD53}
"Pri Ëistom jazere";"Les";"P-108/1978";1983;"30.03.1978";{1C49CDB4-57AC-4F63-B18F-D12C41B2FC69}
"Dudv·h";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{C55DFF0F-084C-4BD7-A97C-8AF6E9264D2C}
"Jalovsk· hora";"Les";"P-164/1976";2010;"23.06.1976";{A3AC6C12-5704-419A-A912-A8137CD3F686}
"BaÚa CÌgeæ";"BaÚa, öachta, ötÙlÚa";"GK-2505/1994";2010;"07.09.1994";{626EECC7-EAD8-4EBF-AB04-AFEA7FC733B9}
"Dudv·h";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{D3D80CB7-DCD0-4DA0-83FA-3DE51B49FF9F}
"Tepl˝ vrch";"Vodn· n·drû";"P-255/1992";2010;"16.06.1992";{CD3C2FC9-ABDC-4E0F-B5DF-06059F83DEC6}
"Trnavka";"Vodn˝ tok";"P-378/1975";2005;"19.11.1975";{9E4744E7-6D5B-4C9B-A4F7-C9543C16BBA6}
"Nad vinicou";"Vrch";"P-164/1976";1992;"23.06.1976";{38119BA8-0AA4-0AD4-E053-3DC4A8C097BF}
"Veæk· pl·Úava";"Les";"P-108/1978";1989;"30.03.1978";{95F665C3-B178-4629-BE74-E8810FCB72D9}
"Ryp·kov h‡bik";"Pole";"P-164/1976";1994;"23.06.1976";{1C43C18C-6944-486B-AA8A-F35712BC4EE0}
"»ipkovÈ";"Pole";"P-801/1993";2010;"21.04.1993";{0CE6D2D1-37B6-46A9-873F-1ED46B7E334A}
"Kopaska";"Hor·reÚ";"P-221/1981";2013;"09.09.1981";{DE5DC350-C26F-4809-98D9-2235CDA8360E}
"Priepasn˝ potok";"Vodn˝ tok";"P-108/1978";2003;"30.03.1978";{23EDCED2-6A35-488E-8717-CFC24D8B2E33}
"Kopanica";"Pole";"P-108/1978";2007;"30.03.1978";{8C7441C2-2342-46B4-833D-57C227D2EA96}
"Olöiny";"Pole";"P-378/1975";1993;"19.11.1975";{F7B17F8B-BEDB-4EA2-87DA-585089337531}
"Star˝ potok";"Vodn˝ tok";"P-164/1976";1986;"23.06.1976";{8F0C6422-1BA3-465C-AE71-BA7AA7F381DD}
"Nitra";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{00426ED6-AD02-4307-853A-8CD83DA9E15A}
"Horn· sihoù";"Pole";"P-108/1978";1992;"30.03.1978";{DC53C250-955A-4DCC-8425-C0DE900739EF}
"Pod BrezÌm";"Les";"P-395/1991";2007;"05.08.1991";{1852F53F-D4FA-45BA-A3E0-D0474EC1966B}
"Nad Priekopou";"Les";"GK-1034/1993";2007;"01.06.1993";{C04012BF-217F-4107-941F-BEA0BBE212B3}
"Obora";"Les";"P-108/1978";1991;"30.03.1978";{0291A964-65AA-415D-AC19-5418E90795DB}
"Bukovinsk˝ potok";"Vodn˝ tok";"P-164/1976";2005;"23.06.1976";{D3CC7104-FCB3-4EE0-AD00-EC9AE01DDBC3}
"SmrekovickÈ pleso";50;"P-42/1988";2007;"04.02.1988";{3C32B066-1EEA-47D4-96E0-F3DA81556E08}
"Drienovsk˝ vrch";"Vrch";"P-378/1975";1993;"19.11.1975";{58601D84-34B6-49F7-B994-E36D127DB8A1}
"Biele ples·";50;"P-378/1975";2013;"19.11.1975";{D3C05C62-D038-47E6-B933-73303360958D}
"Dudv·h";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{CF13F4C6-E2D9-4F77-9B74-5498281BCB53}
"Dudv·h";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{7E1050DE-EA31-433B-B818-57D7D53A1B4F}
"Huökov kan·l";"Kan·l, n·hon";"P-108/1978";2009;"30.03.1978";{640FF1FD-B5BB-44EF-8576-EA87E622CDF0}
"DrieÚock· pustatina";"L˙ka, pasienok";"P-255/1992";2007;"16.06.1992";{3CAAF829-CF70-43AC-B1C0-8F2021D27C24}
"HraniËn˝ potok";"Vodn˝ tok";"GK-1832/1994";2007;"23.06.1994";{E0A995B1-5D21-4EFE-B4EF-22C2F1C68806}
"LiborË·k";"L˙ka, pasienok";"P-395/1991";2007;"05.08.1991";{8336B647-0D3A-4644-A85A-993159EDF9DB}
"KrËovci";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1989;"09.09.1981";{E41B1BE2-3C97-4D93-920E-B031987F916F}
"GrÛfsky les";"Les";"P-378/1975";1990;"19.11.1975";{CD36EA5F-4F9B-43FC-A4D7-B716AB52E63A}
"Olöinsk˝ kan·l";"Kan·l, n·hon";"P-378/1975";1990;"19.11.1975";{05294176-A52C-4C5C-B0B7-D3DCB459FB40}
"Nad skalkou";"Vrch";"P-164/1976";1994;"23.06.1976";{38119BA8-0A93-0AD4-E053-3DC4A8C097BF}
"DrieÚok";"Vodn˝ tok";"P-164/1976";2007;"23.06.1976";{F75ABD1B-89D6-4B65-AD4F-B4849099DD13}
"äirokÈ pod Lukavcom";"Pole";"P-378/1975";1993;"31.10.1975";{19A80EC0-2FF7-4C60-A830-A13337909CC1}
"Dudv·h";"Vodn˝ tok";"P-108/1978";1993;"30.03.1978";{3DAAB089-B530-4C84-A10C-685842FBE446}
"Pod hriadkami";"Pole";"P-801/1993";1999;"21.04.1993";{66DEACDC-1466-4179-A3D4-2F92DE713CE1}
"Suækov";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1994;"09.09.1981";{4ADB6FBC-A084-4F33-A01E-9F889EA4D72F}
"SobolËÌn";"Majer, osada, samota, miestna Ëasù";"P-221/1981";1994;"09.09.1981";{3747210B-DCAC-4025-81AD-BD6D64E92E63}
"»·slov";"Pole";"P-801/1993";2010;"21.04.1993";{8255D8DF-6843-4095-A3E8-67197FC3C1ED}
"hrebeÚ Javorov˝ch veûÌ";"HrebeÚ, chrb·t";"P-42/1988";2014;"04.02.1988";{DA6D645C-B2B7-45FE-87AA-517FB35C822D}
"ät·l";"Vrch";"P-164/1976";1990;"23.06.1976";{38701A58-8B5A-7069-E053-3DC4A8C04A1E}
"»ubok";"Vrch";"P-378/1975";1993;"19.11.1975";{37061338-A200-7CB7-E053-3DC4A8C05F8C}
"Doln˝ hon za ä·rdom";"Pole";"P-108/1978";1993;"30.03.1978";{A83CDEE4-7FD2-4E14-8C73-791E49F440B8}
"VysokÈ hruöky";"Pole";"P-108/1978";1988;"30.03.1978";{642D18A9-2DA7-41A9-A3DF-E2DE0B1EB760}
"ZiËiho potok";"Kan·l, n·hon";"P-801/1993";1999;"21.04.1993";{77DFEB7F-6DA9-4B9D-9BAF-82217F6A81D3}
"Malinovsk˝ potok";"Vodn˝ tok";"GK-1049/1994";1994;"18.04.1994";{7F57020B-E2A1-4EA6-ADD7-D73F5936AE79}
"Kriv·";"Dolina";"P-164/1976";1987;"23.06.1976";{E4F0F4AC-43E0-470A-A521-DC73D61205DC}
"Nededsko-vlËiansky kan·l";"Kan·l, n·hon";"P-801/1993";2007;"21.04.1993";{C92BA248-DC46-4882-9BB1-5E81487A499F}
"UnÌn";"Vodn· n·drû";"P-108/1978";2007;"30.03.1978";{F28FBFF4-0D43-4387-A307-B0594C2E8C67}
"K·lnick· dolina";"Dolina";"P-108/1978";1991;"30.03.1978";{9F02B172-42B8-45CC-8F15-AD9948740E35}
"Na rovin·ch";"Les";"P-378/1975";1993;"19.11.1975";{BCAA22C9-2221-4B96-ABB4-475FF6AE6F17}
