Abdon
Ábel
Abelard
Abrahám
Absolón
Ada
Adalbert
Adam
Adela
Adelaida
Adelard
Adelgunda
Adelína
Adolf
Adrián
Afra
Agap
Agáta
Aglája
Agnesa
Achiles
Aida
Aladár
Alan
Albert
Albertín
Albín
Albrecht
Alena
Aleš
Alex
Alexander
Alexej
Alfonz
Alfréd
Alica
Alida
Alina
Alma
Alojz
Alžbeta
Amadeus
Amália
Amand
Amarant
Amát
Ambróz
Amos
Anabela
Anastáz
Anatol
Andrej
Andronik
Aneta
Anežka
Angela
Angelika
Angelína
Anita
Anna
Annamária
Antal
Antília
Antim
Antip
Anton
Anunciáta
Anzelm
Apia
Apoliena
Apolinár
Apolón
Arabela
Aranka
Aretas
Ariadna
Ariel
Aristid
Arkád
Arleta
Armand
Armín
Arne
Arnold
Arnošt
Áron
Arpád
Artem
Artemida
Artemon
Artúr
Arzen
Aster
Astrid
Atanáz
Aténa
Atila
August
Augustín
Aurel
Auróra
Axel
Babeta
Balbína
Baltazár
Barbora
Barica
Barnabáš
Bartolomej
Bazil
Beáta
Beatrica
Bela
Belín
Belinda
Belo
Belomír
Beňadik
Benilda
Benita
Benjamín
Benon
Berenika
Bernard
Bernardín
Berta
Bertín
Bertold
Bertram
Bertrand
Bianka
Bibiána
Blahoboj
Blahomil
Blahomír
Blahosej
Blahoslav
Blanka
Blažej
Blažena
Bohdan
Bohuchval
Bohumil
Bohumír
Bohuslav
Bohuš
Bojan
Bojimír
Bojislav
Bolemír
Boleslav
Bonifác
Borimír
Boris
Borislav
Borivoj
Božena
Božetech
Božica
Božidar
Božislav
Branimír
Branislav
Bratislav
Brenda
Brian
Brigita
Brit
Bronislav
Bruna
Brunhilda
Bruno
Budimír
Budislav
Bystrík
Cecília
Celerín
Celestín
Cézar
Ctiboh
Ctibor
Ctirad
Ctislav
Cvetan
Cyntia
Cyprián
Cyril
Cyrus
Čestmír
Čistomil
Čistoslav
Dacián
Dag
Dagmar
Dagobert
Dajana
Dália
Dalibor
Dalida
Dalila
Dalimil
Dalimír
Dalma
Damara
Damián
Dan
Danica
Daniel
Danila
Danuta
Dárius
Darina
Daša
Dávid
Dean
Debora
Dejan
Delfína
Demeter
Demian
Denis
Deodata
Desana
Desdemona
Despína
Detrich
Dezider
Diana
Dília
Dimitrij
Dionýz
Dita
Dobrava
Dobromil
Dobromír
Dobroslav
Dobrotín
Dominik
Domoľub
Domoslav
Donald
Donát
Dorisa
Dorota
Dragutín
Drahan
Drahoľub
Drahomil
Drahomír
Drahoň
Drahoslav
Drahoš
Drahotín
Dražica
Dúbravka
Duchoslav
Dulcia
Dulcinela
Dulcínia
Duňa
Dušan
Eberhard
Edgar
Edina
Edita
Edmund
Eduard
Edvin
Egid
Egon
Ela
Elektra
Elemír
Elena
Eleonóra
Elfrída
Eliáš
Eliška
Elizabeta
Elizej
Ella
Elmar
Elo
Elvíra
Elvis
Elza
Ema
Eman
Emanuel
Emil
Emilián
Engelbert
Enrik
Erazmus
Erhard
Erich
Ermelinda
Erna
Ernest
Ervín
Estera
Etela
Eufrozína
Eugen
Eulália
Eunika
Euridika
Euriela
Eusébius
Eustach
Eva
Evald
Evelína
Ezechiel
Fabián
Fábius
Fatima
Faust
Febrónia
Fedor
Felicián
Felicita
Félix
Ferdinand
Fidél
Filemon
Filibert
Filip
Filomén
Flavián
Flávius
Flóra
Florencián
Florentín
Florián
Florína
Fortunát
Fraňo
František
Frederik
Frída
Fridolín
Fridrich
Gabriel
Gál
Galina
Gaston
Gašpar
Gedeon
Gejza
Genadij
Genovéva
Georgia
Georgína
Gerald
Gerazim
Gerhard
Gertrúda
Gilbert
Ginda
Gizela
Gorazd
Gordan
Gordián
Gordon
Gothard
Gracián
Gregor
Gustáv
Gustína
Halina
Hana
Harold
Hartvig
Havel
Hedviga
Helena
Helga
Helmut
Henrich
Herald
Herbert
Herina
Herman
Herta
Hieroným
Hilár
Hilda
Hildegard
Homér
Honor
Honorát
Horác
Hostimil
Hostirad
Hostislav
Hostivít
Hrdoslav
Hrdoš
Hromislav
Hubert
Hugo
Hugolín
Humbert
Hvezdoň
Hviezdoslav
Hyacint
Hynek
Hypolit
Chariton
Chotimír
Chraniboj
Chranislav
Ida
Ifigénia
Ignác
Ignát
Igor
Ilarion
Ilia
Iľja
Ilma
Imanuel
Imrich
Ina
Ingeborga
Ingrida
Inocent
Irena
Irina
Irma
Ita
Ivan
Ivar
Iveta
Ivica
Ivona
Ivor
Izabela
Izák
Izidor
Izmael
Izolda
Jadrana
Jáchim
Jakub
Ján
Jarmila
Jarolím
Jaromil
Jaromír
Jaroslav
Jasna
Jaško
Jazmína
Jela
Jelena
Jeremiáš
Jerguš
Jitka
Joachim
Jolana
Jolanta
Jonáš
Jonatán
Jordán
Jovan
Jozef

Júda
Judáš
Judita
Julián
Július
Juraj
Jurina
Justín
Justinián
Justus
Juventín
Kajetán
Kalina
Kalist
Kamil
Kandid
Kara
Karina
Kariton
Karmela
Karmen
Karol
Kasandra
Kasián
Kasius
Kastor
Katarína
Kazimír
Kilián
Kinga
Klára
Klarisa
Klaudián
Klaudius
Klélia
Klement
Klementín
Kleopatra
Kliment
Klodeta
Klotilda
Koleta
Koloman
Kolumbín
Konkordia
Konrád
Konstancia
Konštantín
Konzulea
Kora
Kondula
Korina
Koriolán
Kornel
Kozmas
Krasava
Krasislav
Krasomil
Krasoslav
Krescenc
Kristián
Krišpín
Krištof
Kunigunda
Kurt
Kvetana
Kvetava
Kvetoň
Kvetoslav
Kvído
Kvintilián
Kvintín
Kvintus
Lada
Ladislav
Lambert
Larisa
Laura
Laurenc
Lazár
Lea
Leander
Leda
Lejla
Lena
Leo
Leodegar
Leokádia
León
Leonard
Leonid
Leontín
Leopold
Leoš
Lesana
Lev
Levoslav
Liana
Libert
Libérius
Libor
Liborius
Liboslav
Libuša
Liliana
Linda
Lineta
Linhart
Lívius
Líza
Loránt
Loreta
Lotar
Ľuba
Ľuban
Ľuben
Ľubica
Ľubomír
Ľuboslav
Ľubor
Ľuboš
Ľubuša
Lucia
Lucián
Ľudevít
Ľudmila
Ľudomil
Ľudomír
Ľudovít

Lujza
Lukáš
Lukrécius
Lumír
Luneta
Lýdia
Magda
Magdaléna
Magnus
Mahuliena
Maja
Majda
Makar
Malvína
Manfréd
Manon
Mansvét
Manuel
Marcel
Marek
Margaréta
Margita
Mária
Marián
Marica
Marieta
Marína
Mário
Márius
Mariola
Maroš
Marta
Martin
Martinián
Matej
Matilda
Matúš
Maurícius
Maurus
Maxim
Maximilián
Medard
Medea
Melánia
Melchior
Melichar
Melinda
Melita
Meluzína
Menhart
Metaneta
Metod
Mezalína
Mieroslav
Michal
Mikuláš
Milada
Miladín
Milan
Milena
Mileva
Milica
Milina
Miliduch
Milivoj
Milomír
Miloň
Milorad
Miloslav
Miloš
Milota
Milovan
Milovín
Milutín
Mineta
Mira
Mirabela
Miranda
Mirela
Miriam
Mirón
Miroslav
Mladen
Mladoň
Mladotín
Moderát
Modest
Mojmír
Mojtech
Mojžiš
Monika
Móric
Mstislav
Múdroslav
Naďa
Nadežda
Naneta
Napoleon
Narcis
Nasťa
Natália
Natan
Natanael
Nataša
Neander
Nehoslav
Neméz
Nestor
Nika
Nikita
Nikodém
Nikola
Nina
Noe
Nora
Norbert
Norma
Norman
Odeta
Oktavián
Oktávius
Olaf
Oldrich
Oleg
Oliva
Oliver
Olívius
Olympia
Omar
Ondrej
Orest
Oskár
Osvald
Otakar
Otília
Otmar
Oto
Ovídius
Oxana
Palmíra
Pamela
Pamfil
Pankrác
Pantaleon
Paskal
Patrik
Patrokles
Paulin
Pavol
Pelagia
Penelopa
Peregrín
Perikles
Perla
Perzida
Peter
Petrana
Petronela
Petrónius
Pius
Placid
Platón
Polykarp
Polyxéna
Pomóna
Porfyr
Pravdoľub
Pravoľub
Pravomil
Pravoslav
Pribina
Pribislav
Pribiš
Prímus
Priskus
Procius
Prokop
Prosper
Prótus
Prudencius
Pýtia
Radana
Radim
Radimír
Radislav
Radivoj
Radko
Radomil
Radomír
Radoslav
Radovan
Radúz
Rafael
Rainer
Rainold
Raisa
Rajmund
Ramón
Ramzes
Rastic
Rastimír
Rastislav
Ratibor
Ratislav
Rebeka
Regan
Regína
Regulus
Remig
Remus
Renát
René
Ria
Richard
Rinaldo
Rita
Róbert
Rodan
Roderik
Roger
Rochus
Roland
Rolf
Roman
Romeo
Romuald
Romulus
Ronald
Roxana
Róza
Rozália
Rozalín
Rozeta
Rozína
Rozita
Ruben
Rudolf
Rufínus
Rúfus
Rumjana
Rupert
Ruprecht
Rusalka
Ružena
Ružica
Sabína
Saloma
Saloména
Salvátor
Samson
Samuel
Sandro
Sandy
Sára
Saskia
Saturnín
Saul
Sebastián
Selena
Selma
Serafa
Serafín
Serena
Sergej
Sergius
Servác
Servián
Severín
Scholastika
Sibyla
Sidón
Sigfríd
Silvián
Silver
Silvester
Silvius
Simeon
Simona
Sírius
Sixtus
Skarleta
Skrolana
Sláva
Slavena
Slaviboj
Slavibor
Slavislav
Slávka
Slavoboj
Slavoj
Slavoľub
Slavomil
Slavomír
Sofia
Sofron
Soňa
Spiridon
Stacho
Stanimír
Stanislav
Stela
Stibor
Stojan
Svatava
Svätoboj
Svätobor
Svätomír
Svätopluk
Svätoslav
Svätoš
Sven
Svetislav
Svetlana
Svetoslav
Svetozár
Svorad
Šalamún
Šárka
Šarlota
Šavol
Šebastián
Šimon
Školastika
Štefan

Tadeáš
Tajana
Tália
Tamara
Tankréd
Taras
Tasilo
Tatiana
Teo
Tekla
Teobald
Teodor
Teodorik
Teodot
Teodoz
Teofan
Teofil
Terézia
Tiber
Tibor
Ticián
Tichomil
Tichomír
Tímea
Timon
Timotej
Títus
Tobiáš
Tomáš
Tomislav
Torkvát
Toska
Trifon
Tristan
Trofín
Trojan
Tulius
Tvrdomír
Udo
Ulrich
Una
Urban
Uriáš
Uriel
Uršuľa
Václav
Vadim
Valdemar
Valentín
Valér
Valerián
Valter
Vanda
Vanesa
Vasil
Vatroslav
Vavrinec
Vavzo
Vejan
Veleslav
Velimír
Velislav
Vendelín
Venuša
Verner
Verona
Veronika
Vidor
Viera
Vieroľub
Vieromil
Vieroslav
Viktor
Viktorián
Viktorín
Vilhelm
Viliam
Vilibald
Vilím
Vilma
Vincent
Viola
Violeta
Virgil
Virgín
Vít
Víťazoslav
Vitold
Vivián
Vladan
Vladen
Vladimír
Vladislav
Vladivoj
Vlasta
Vlastibor
Vlastimil
Vlastimír
Vlastislav
Vojeslav
Vojmír
Vojslav
Vojtech
Volfgang
Volfram
Vratislav
Vratko
Vsevolod
Vševlad
Xavér
Xénia
Xenofón
Xerxes
"Yvata, Yvetta"
"Yvona, Yvonna"
Záboj
Zachariáš
Zaida
Zaira
Záviš
Zbignev
Zdenko
Zdislav
Zdravomil
Zemfír
Zemislav
Zenob
Zenon
Zian
Zina
Zinajda
Zita
Zlata
Zlatan
Zlatica
Zlatko
Zlatomír
Zlatoň
Zlatoš
Zoa
Zoja
Zoltán
Zora
Zoran
Zoroslav
Zosim
Zuzana
Zvonimír
Zvonislav
Žakelína
Žaneta
Žarko
Želimír
Želmíra
Želislav
Žigmund
Žitomír
Žitoslav
Živa
Živan
Živena
Živko
Žofia
