"IDN5";"NM5";"IDN4";"NM4";"IDN3";"NM3";"IDN2";"NM2";"POINT_X";"POINT_Y"
801372;"Malachov";580244;"Malachov";601;"Banská Bystrica";6;"Banskobystrickı";-423106.32;-1230731.76
801381;"Kremnièka";508438;"Banská Bystrica";601;"Banská Bystrica";6;"Banskobystrickı";-420164.27;-1233170.45
801402;"Šalková";508438;"Banská Bystrica";601;"Banská Bystrica";6;"Banskobystrickı";-412040.89;-1228743.64
801411;"Senica";508438;"Banská Bystrica";601;"Banská Bystrica";6;"Banskobystrickı";-414036.72;-1227641.32
801429;"Kynce¾ová";557277;"Kynce¾ová";601;"Banská Bystrica";6;"Banskobystrickı";-414961.38;-1226911.65
801437;"Nemce";557285;"Nemce";601;"Banská Bystrica";6;"Banskobystrickı";-415666.1;-1224669.76
801453;"Kostiviarska";508438;"Banská Bystrica";601;"Banská Bystrica";6;"Banskobystrickı";-418534.34;-1225664.3
801461;"Banská Hodruša";516759;"Hodruša-Hámre";612;"arnovica";6;"Banskobystrickı";-443629.71;-1257257.04
801470;"Banská Štiavnica";516643;"Banská Štiavnica";602;"Banská Štiavnica";6;"Banskobystrickı";-438034.2;-1257720.3
801640;"Banské";544078;"Banské";713;"Vranov nad Top¾ou";7;"Prešovskı";-239971.87;-1229237.65
801658;"Banskı Studenec";516651;"Banskı Studenec";602;"Banská Štiavnica";6;"Banskobystrickı";-432427.99;-1259037.24
801674;"Malá Bara";528129;"Bara";811;"Trebišov";8;"Košickı";-229171.43;-1274480.63
801682;"Ve¾ká Bara";528129;"Bara";811;"Trebišov";8;"Košickı";-230568.07;-1273997.47
801691;"Barca";514501;"Barca";609;"Rimavská Sobota";6;"Banskobystrickı";-340101.06;-1274700.78
801712;"Bardejov";519006;"Bardejov";701;"Bardejov";7;"Prešovskı";-259156.75;-1175499.14
802077;"Bardejovská Nová Ves";519006;"Bardejov";701;"Bardejov";7;"Prešovskı";-254875.23;-1174757.34
802093;"Bardoòovo";503053;"Bardoòovo";404;"Nové Zámky";4;"Nitriansky";-476552.71;-1293331.03
802107;"Bartošova Lehôtka";516660;"Bartošova Lehôtka";613;"iar nad Hronom";6;"Banskobystrickı";-435680.75;-1236487.68
802115;"Bartošovce";519049;"Bartošovce";701;"Bardejov";7;"Prešovskı";-259288.35;-1186475.58
802123;"Baška";521159;"Baška";806;"Košice - okolie";8;"Košickı";-268659.07;-1240519.58
802140;"Baškovce";520021;"Baškovce";702;"Humenné";7;"Prešovskı";-218469.56;-1206870.42
802158;"Baškovce";522309;"Baškovce";809;"Sobrance";8;"Košickı";-193336.66;-1235139.25
802166;"Bašovce";558354;"Bašovce";204;"Piešany";2;"Trnavskı";-516940.51;-1231886.37
802174;"Batizovce";523402;"Batizovce";706;"Poprad";7;"Prešovskı";-339132.54;-1195564.75
802191;"Bátka";514519;"Bátka";609;"Rimavská Sobota";6;"Banskobystrickı";-346206.19;-1273972.81
802204;"Dulovo";557919;"Dulovo";609;"Rimavská Sobota";6;"Banskobystrickı";-342938.6;-1273304.43
802212;"Bátorová";515876;"Bátorová";610;"Ve¾kı Krtíš";6;"Banskobystrickı";-411890.36;-1295800.88
802221;"Bátovce";502057;"Bátovce";402;"Levice";4;"Nitriansky";-446353.15;-1276888.86
802239;"Jalakšová";502057;"Bátovce";402;"Levice";4;"Nitriansky";-449455.37;-1277911.0
802247;"Kmeovce";502219;"Drenice";402;"Levice";4;"Nitriansky";-454654.73;-1278362.81
802255;"Beckov";505846;"Beckov";304;"Nové Mesto nad Váhom";3;"Trenèiansky";-507918.59;-1215459.14
802263;"Beharovce";526380;"Beharovce";704;"Levoèa";7;"Prešovskı";-293399.02;-1206209.29
802271;"Behynce";505714;"Ve¾ké Ripòany";406;"Topo¾èany";4;"Nitriansky";-506504.44;-1245142.45
802280;"Behynce";515612;"Torna¾a";608;"Revúca";6;"Banskobystrickı";-335568.15;-1268074.82
802298;"Becherov";519057;"Becherov";701;"Bardejov";7;"Prešovskı";-255481.33;-1160814.29
802301;"Belá";503061;"Belá";404;"Nové Zámky";4;"Nitriansky";-467159.24;-1325691.94
802328;"Belá";512052;"Belá-Dulice";506;"Martin";5;"ilinskı";-422457.93;-1201033.39
802336;"Belá";517429;"Belá";511;"ilina";5;"ilinskı";-425674.59;-1171692.48
802395;"Belá nad Cirochou";520039;"Belá nad Cirochou";709;"Snina";7;"Prešovskı";-199378.41;-1214458.28
802409;"Beladice";500062;"Beladice";407;"Zlaté Moravce";4;"Nitriansky";-485643.8;-1268534.56
802417;"Pustı Chotár";500062;"Beladice";407;"Zlaté Moravce";4;"Nitriansky";-485534.68;-1266706.64
802425;"Belejovce";527122;"Belejovce";712;"Svidník";7;"Prešovskı";-238766.59;-1167883.17
802433;"Belín";514535;"Belín";609;"Rimavská Sobota";6;"Banskobystrickı";-349769.33;-1277138.85
802450;"Belina";511234;"Belina";606;"Luèenec";6;"Banskobystrickı";-369671.34;-1287688.84
802468;"Belince";542661;"Belince";406;"Topo¾èany";4;"Nitriansky";-497633.69;-1252512.08
802476;"Bellova Ves";555517;"Bellova Ves";201;"Dunajská Streda";2;"Trnavskı";-544247.48;-1289538.15
802484;"Belovea";519065;"Belovea";701;"Bardejov";7;"Prešovskı";-252197.04;-1175030.79
802492;"Beluj";516678;"Beluj";602;"Banská Štiavnica";6;"Banskobystrickı";-440040.87;-1270095.74
802506;"Beluša";512851;"Beluša";308;"Púchov";3;"Trenèiansky";-473309.82;-1189537.4
802565;"Bela";521167;"Bela";806;"Košice - okolie";8;"Košickı";-262456.67;-1254674.43
802573;"Beòadiková";510271;"Beòadiková";505;"Liptovskı Mikuláš";5;"ilinskı";-375547.42;-1193050.91
802581;"Beòadikovce";527131;"Beòadikovce";712;"Svidník";7;"Prešovskı";-239296.68;-1184095.78
802590;"Beòadovo";509566;"Beòadovo";507;"Námestovo";5;"ilinskı";-397288.95;-1152325.32
802603;"Beòatina";522317;"Beòatina";809;"Sobrance";8;"Košickı";-183554.64;-1233218.47
802611;"Beniakovce";521175;"Beniakovce";806;"Košice - okolie";8;"Košickı";-258585.36;-1234803.43
802638;"Benice";510262;"Liptovskı Mikuláš";505;"Liptovskı Mikuláš";5;"ilinskı";-385006.31;-1192885.55
802654;"Benice";512061;"Benice";506;"Martin";5;"ilinskı";-436001.05;-1198544.71
802662;"Benkovce";544086;"Benkovce";713;"Vranov nad Top¾ou";7;"Prešovskı";-228524.14;-1216148.33
802671;"Beòova Lehota";509540;"Dolnı Kubín";503;"Dolnı Kubín";5;"ilinskı";-405121.79;-1173174.07
802689;"Beòuš";508462;"Beòuš";603;"Brezno";6;"Banskobystrickı";-371837.73;-1222137.14
802727;"Beòušovce";510777;"Liptovskı Trnovec";505;"Liptovskı Mikuláš";5;"ilinskı";-384835.04;-1185812.31
802735;"Bernolákovo";507814;"Bernolákovo";108;"Senec";1;"Bratislavskı";-558151.65;-1275931.11
802743;"Bertotovce";524191;"Bertotovce";707;"Prešov";7;"Prešovskı";-278506.95;-1204964.08
802760;"Beša";502065;"Beša";402;"Levice";4;"Nitriansky";-477653.56;-1289227.85
802778;"Jesenské";556777;"Jesenské";402;"Levice";4;"Nitriansky";-476890.33;-1287672.64
802794;"Beša";528137;"Beša";807;"Michalovce";8;"Košickı";-212930.22;-1263210.96
